config_id,N,output,nrmse,rmse,r2
GP-SE,40,i_l_mean,0.022379437078735787,0.27831903388869755,0.9908045906119092
GP-SE,40,v_out_ripple,0.14451287778558505,0.1329056812736968,0.5526050303003109
GP-SE,40,i_l_ripple,0.02679878219134895,0.1907651593074648,0.9798448529319851
GP-SE,40,efficiency,0.019967571859390888,0.003045842842428053,0.9898267321873743
GP-SE,60,v_out_mean,0.003851347546779572,0.1425156905766507,0.9997073086694854
GP-SE,60,i_l_mean,0.018695861819060987,0.27058829796750505,0.9921528126770913
GP-SE,60,v_out_ripple,0.0615670622018551,0.08855818235970504,0.8647806338275293
GP-SE,60,i_l_ripple,0.019619528538958025,0.14031412136452234,0.9901354230520493
GP-SE,60,efficiency,0.009047829402692411,0.0013977983332797547,0.997747891548917
GP-SE,80,v_out_mean,0.0029004647669055124,0.12468037801258108,0.9998217578292141
GP-SE,80,i_l_mean,0.009927210713344093,0.14367816132176975,0.9973986570665593
GP-SE,80,v_out_ripple,0.04819778662005083,0.06934676478893963,0.9009932907219588
GP-SE,80,i_l_ripple,0.0064216793651833215,0.05149285946575041,0.9988670051727918
GP-SE,80,efficiency,0.005348628389384706,0.0008263091085459632,0.9990457292337833
GP-SE,100,v_out_mean,0.002644583996532746,0.11527206986675306,0.9998426939687269
GP-SE,100,i_l_mean,0.006786946768386799,0.13089233469031972,0.9982413779092912
GP-SE,100,v_out_ripple,0.0195127225013342,0.028074819874175486,0.9815253649934517
GP-SE,100,i_l_ripple,0.002921879325285935,0.023429373052875114,0.9997269570067475
GP-SE,100,efficiency,0.005739249147127603,0.0009415536489104641,0.9988996184689606
NN-M,20,v_out_mean,0.12651293281139045,3.7484118224131033,0.6987893879450972
NN-M,20,i_l_mean,0.15905788050400985,1.9109312063280797,0.638903377300421
NN-M,20,v_out_ripple,0.15862302189785735,0.145882506210323,0.578782470150613
NN-M,20,i_l_ripple,0.1550682506935981,1.103841933408583,0.5226939318784606
