model,output,nominal,empirical
GP-SE-noARD,v_out_ripple,0.6,0.45
GP-SE-noARD,v_out_ripple,0.7,0.58
GP-SE-noARD,v_out_ripple,0.8,0.67
GP-SE-noARD,v_out_ripple,0.9,0.75
GP-SE-noARD,v_out_ripple,0.95,0.79
GP-SE-noARD,i_l_ripple,0.1,0.3
GP-SE-noARD,i_l_ripple,0.2,0.44
GP-SE-noARD,i_l_ripple,0.3,0.54
GP-SE-noARD,i_l_ripple,0.4,0.64
GP-SE-noARD,i_l_ripple,0.5,0.73
GP-SE-noARD,i_l_ripple,0.6,0.78
GP-SE-noARD,i_l_ripple,0.7,0.81
GP-SE-noARD,i_l_ripple,0.8,0.85
GP-SE-noARD,i_l_ripple,0.9,0.87
GP-SE-noARD,i_l_ripple,0.95,0.92
GP-SE-noARD,efficiency,0.1,0.09
GP-SE-noARD,efficiency,0.2,0.2
GP-SE-noARD,efficiency,0.3,0.28
GP-SE-noARD,efficiency,0.4,0.37
GP-SE-noARD,efficiency,0.5,0.49
GP-SE-noARD,efficiency,0.6,0.54
GP-SE-noARD,efficiency,0.7,0.61
GP-SE-noARD,efficiency,0.8,0.68
GP-SE-noARD,efficiency,0.9,0.77
GP-SE-noARD,efficiency,0.95,0.86
