model,N,output,rmse,nrmse,r2,train_s
POLY-3-L,40,i_l_ripple,0.37674295668970226,0.055416699313904506,0.7703546549930163,0.003288674999566865
POLY-3-L,40,efficiency,0.01585964390611953,0.05665094856140021,0.747871858273369,0.002349193999179988
POLY-3-L,50,v_out_mean,1.6872506525371653,0.017970618614654838,0.9912097274103985,0.0023487379994548974
POLY-3-L,50,i_l_mean,1.8492498778609328,0.046957562260749645,0.8045154429580663,0.002845267999873613
POLY-3-L,50,v_out_ripple,0.059276436042079134,0.05587822900007647,0.7637733955172894,0.00276683599986427
POLY-3-L,50,i_l_ripple,0.2353663128730514,0.034621016683932554,0.9103694686887451,0.0024739020000197343
POLY-3-L,50,efficiency,0.015264042011749314,0.054523447308486184,0.7664533918064589,0.0023368089996438357
POLY-3-L,75,v_out_mean,1.3677207285627153,0.014567359951764494,0.9942238562721154,0.002500943999621086
POLY-3-L,75,i_l_mean,1.566495233236053,0.039777640829662536,0.8597252793415979,0.0027238329994361266
POLY-3-L,75,v_out_ripple,0.04859975886052759,0.04581362572185106,0.8412064462757517,0.002403780999884475
POLY-3-L,75,i_l_ripple,0.19771354167620228,0.029082512877291737,0.9367529615474797,0.0025056180002138717
POLY-3-L,75,efficiency,0.012367220630234325,0.044175946441051946,0.8466871078894471,0.002338600000257429
POLY-3-L,100,v_out_mean,1.226953631689458,0.01306807363790381,0.9953516434369221,0.002386493999438244
POLY-3-L,100,i_l_mean,1.4626609230176488,0.03714100088973043,0.8777050356685289,0.002894504999858327
POLY-3-L,100,v_out_ripple,0.041987991470483654,0.03958089857115251,0.8814736692844747,0.0023496459998568753
POLY-3-L,100,i_l_ripple,0.18554776920629953,0.02729299845395705,0.9442969676916086,0.0025503929991828045
POLY-3-L,100,efficiency,0.012104100729846516,0.04323607717093555,0.8531413547970835,0.0022260619998633047
POLY-3-L,125,v_out_mean,1.1391908797934298,0.012133327552297327,0.9959928450871576,0.0025134380002782564
POLY-3-L,125,i_l_mean,1.5392137392450556,0.03908488834229702,0.8645686774007291,0.0025880220000544796
POLY-3-L,125,v_out_ripple,0.04280402449826631,0.04035014995404091,0.8768218017773927,0.0024781929996606777
POLY-3-L,125,i_l_ripple,0.17035186043604805,0.02505776859187329,0.9530472401628564,0.0025624050003898446
POLY-3-L,125,efficiency,0.010138129912225733,0.036213592156674,0.8969732113256508,0.0027251659994362853
POLY-3-L,150,v_out_mean,1.1028585813866234,0.011746358445436563,0.9962443701088206,0.0025446520003242767
POLY-3-L,150,i_l_mean,1.4295297554695656,0.0362997090332129,0.8831825676252492,0.0026806410005519865
POLY-3-L,150,v_out_ripple,0.04330211582283981,0.040819686635998505,0.8739383828866794,0.0025005870002132724
POLY-3-L,150,i_l_ripple,0.1546060977651994,0.022741658416740793,0.9613258657495789,0.0025346350003019325
