strategy,seed,output,rmse,nrmse,r2,mae
random,23,i_l_mean,1.0024783879145096,0.02656292432852117,0.9522445877020123,0.48441174223211536
random,23,v_out_ripple,0.031987809089658654,0.02354011222728463,0.9478178811605611,0.016979960607639396
random,23,i_l_ripple,0.07455539826887224,0.012366912069850237,0.9934522167849257,0.023541904310635423
random,23,efficiency,0.1976014254350683,0.0847276539442907,0.4128410480061028,0.11963026846074717
random,24,v_out_mean,0.5853768113875866,0.006421174875634293,0.9989729143448339,0.39790284073968174
random,24,i_l_mean,1.068615269195946,0.028315370061000145,0.9457355616164214,0.6247546850986597
random,24,v_out_ripple,0.10170996911344662,0.07484926775864212,0.47243039849124957,0.060167466566814105
random,24,i_l_ripple,0.05053011591541819,0.008381706957713625,0.9969922849269331,0.015424857823606052
random,24,efficiency,0.21683314161735187,0.09297384037669969,0.2929878702474894,0.1256497416871346
random,25,v_out_mean,0.9702695747507522,0.01064317973445782,0.9971782374796243,0.4298452274167164
random,25,i_l_mean,0.8140493414792875,0.021570072051509244,0.9685099014079497,0.4788168340714117
random,25,v_out_ripple,0.04693492571961263,0.034539827836353364,0.8876572660682547,0.014728142575272732
random,25,i_l_ripple,0.11487714306609764,0.01905530062371331,0.9844545479335031,0.02770329277667279
random,25,efficiency,0.1715248241932413,0.07354651372125728,0.5575853434091673,0.09866940641249988
random,26,v_out_mean,0.7041091697249132,0.007723585940522979,0.9985140108623566,0.3937552767840036
random,26,i_l_mean,0.8932551569395732,0.023668808650536853,0.9620839029656779,0.580673069101411
random,26,v_out_ripple,0.04042025649085129,0.02974562500930641,0.9166796954226164,0.023495603715552753
random,26,i_l_ripple,0.03707852095442973,0.006150417259791914,0.9983805001680729,0.012075414323085714
random,26,efficiency,0.21157777282025983,0.09072044029211399,0.32684415238685594,0.12840444769580275
random,27,v_out_mean,0.5624647067671165,0.006169845086556852,0.999051742715022,0.41259735617155957
random,27,i_l_mean,1.2944435906374419,0.034299200421838774,0.9203769479399073,0.7109383711450591
random,27,v_out_ripple,0.036896172021892645,0.027152220013509542,0.930575087728559,0.019189811653676146
random,27,i_l_ripple,0.05561429131172627,0.009225046964390101,0.9963565826837251,0.02073487764774345
random,27,efficiency,0.21693887256066957,0.09301917575197292,0.29229820367540627,0.12429913947036081
random,28,v_out_mean,0.7996712810158284,0.00877183557417221,0.9980832801838367,0.5115971986420049
random,28,i_l_mean,0.908482662159651,0.024072295721928542,0.9607801571925192,0.5509492216423613
random,28,v_out_ripple,0.15463280969437967,0.11379565521424988,-0.2194275791717204,0.05848290285300895
random,28,i_l_ripple,0.052569800844997926,0.008720040663387663,0.9967445669611579,0.014615721347063244
random,28,efficiency,0.21747553488309818,0.0932492861342212,0.2887924542911825,0.1346233246440035
random,29,v_out_mean,1.1287720638220284,0.012381841363601338,0.996181013358714,0.6465339678407512
random,29,i_l_mean,1.342088163671562,0.0355616507683274,0.9144077083947826,0.6313768505755395
random,29,v_out_ripple,0.04353120077326475,0.03203499648003078,0.9033606472148756,0.01399100957995984
random,29,i_l_ripple,0.04902168307261223,0.008131494944051241,0.9971691781501598,0.012520211407339244
