strategy,N,output,rmse_mean,rmse_std,rmse_min,rmse_max,n_reps
random,100,v_out_ripple,0.04439694918265029,0.00959052862023105,0.03251865229418964,0.06370141209070618,10
random,150,efficiency,0.18528830853291264,0.023216464616985937,0.14780157349321513,0.22520356281975454,10
random,150,i_l_mean,0.8547473255614693,0.1492439479794952,0.589556846199372,1.0544431800246366,10
random,150,i_l_ripple,0.03247664421436601,0.014244431947847972,0.016206116173471004,0.06825663871669348,10
random,150,v_out_mean,0.6016142591626661,0.053375397911702316,0.5278399259678903,0.6873395529557201,10
random,150,v_out_ripple,0.03365118470303015,0.006618003553357939,0.024704166410743175,0.04433562676003259,10
random,200,efficiency,0.174056751640685,0.024361266333261782,0.14794944174633307,0.21679971262184158,10
random,200,i_l_mean,0.7055210118378594,0.20703284432224203,0.46183158286542625,1.0515759944027414,10
random,200,i_l_ripple,0.018182277613694346,0.0029778574204652893,0.013584869494902329,0.023204745797884396,10
random,200,v_out_mean,0.5970329994933571,0.0550483606639112,0.5399273242178491,0.7141739534007053,10
random,200,v_out_ripple,0.025200136762455954,0.004873427869321855,0.018857153127890512,0.03269808314647825,10
sobol,20,efficiency,0.2689275573196315,,0.2689275573196315,0.2689275573196315,1
sobol,20,i_l_mean,3.2374668849515,,3.2374668849515,3.2374668849515,1
sobol,20,i_l_ripple,0.2951815951042216,,0.2951815951042216,0.2951815951042216,1
sobol,20,v_out_mean,3.1054968404672696,,3.1054968404672696,3.1054968404672696,1
sobol,20,v_out_ripple,0.12528638276988466,,0.12528638276988466,0.12528638276988466,1
sobol,40,efficiency,0.27767079514628945,,0.27767079514628945,0.27767079514628945,1
sobol,40,i_l_mean,1.2853939821345828,,1.2853939821345828,1.2853939821345828,1
sobol,40,i_l_ripple,0.16088145445625826,,0.16088145445625826,0.16088145445625826,1
sobol,40,v_out_mean,1.2848401459343861,,1.2848401459343861,1.2848401459343861,1
sobol,40,v_out_ripple,0.10230466989892859,,0.10230466989892859,0.10230466989892859,1
sobol,60,efficiency,0.23341942987824843,,0.23341942987824843,0.23341942987824843,1
sobol,60,i_l_mean,1.6354415264860847,,1.6354415264860847,1.6354415264860847,1
sobol,60,i_l_ripple,0.06815543039457411,,0.06815543039457411,0.06815543039457411,1
sobol,60,v_out_mean,1.417935697803723,,1.417935697803723,1.417935697803723,1
sobol,60,v_out_ripple,0.07116221273191793,,0.07116221273191793,0.07116221273191793,1
sobol,80,efficiency,0.19922884037807684,,0.19922884037807684,0.19922884037807684,1
sobol,80,i_l_mean,1.0407212577409914,,1.0407212577409914,1.0407212577409914,1
sobol,80,i_l_ripple,0.060300775724006016,,0.060300775724006016,0.060300775724006016,1
sobol,80,v_out_mean,1.0666616703607352,,1.0666616703607352,1.0666616703607352,1
sobol,80,v_out_ripple,0.0380243828343888,,0.0380243828343888,0.0380243828343888,1
sobol,100,efficiency,0.19700248521501024,,0.19700248521501024,0.19700248521501024,1
sobol,100,i_l_mean,0.8409096838797014,,0.8409096838797014,0.8409096838797014,1
sobol,100,i_l_ripple,0.02534407015890646,,0.02534407015890646,0.02534407015890646,1
sobol,100,v_out_mean,0.7869212875219711,,0.7869212875219711,0.7869212875219711,1
sobol,100,v_out_ripple,0.02958513291868301,,0.02958513291868301,0.02958513291868301,1
sobol,150,efficiency,0.19255443330449454,,0.19255443330449454,0.19255443330449454,1
sobol,150,i_l_mean,0.6218064172347322,,0.6218064172347322,0.6218064172347322,1
sobol,150,i_l_ripple,0.026732499213322724,,0.026732499213322724,0.026732499213322724,1
sobol,150,v_out_mean,0.478406700613169,,0.478406700613169,0.478406700613169,1
sobol,150,v_out_ripple,0.027367522162193472,,0.027367522162193472,0.027367522162193472,1
sobol,200,efficiency,0.19405412863574334,,0.19405412863574334,0.19405412863574334,1
sobol,200,i_l_mean,0.6817243177683473,,0.6817243177683473,0.6817243177683473,1
sobol,200,i_l_ripple,0.01232795353121801,,0.01232795353121801,0.01232795353121801,1
sobol,200,v_out_mean,0.4996891305380496,,0.4996891305380496,0.4996891305380496,1
