strategy,N,rep,output,rmse,nrmse,r2,mae
lhs,60,2,i_l_mean,1.677106007517661,0.044438703622605144,0.8663424207886428,0.7572349970294218
lhs,60,2,v_out_ripple,0.06615361083057808,0.04868302855087903,0.7768176599270753,0.032328142422197
lhs,60,2,i_l_ripple,0.04876995629158963,0.00808973964478631,0.9971981760971873,0.0202469336469154
lhs,60,2,efficiency,0.2733866365710005,0.11722288078328046,-0.12390629664502195,0.16819677748287634
lhs,60,3,v_out_mean,1.6363529812537254,0.01794964960431043,0.9919741762466328,0.9680813145726315
lhs,60,3,i_l_mean,2.445763588920836,0.06480601868446147,0.7157493201220446,1.314788696666714
lhs,60,3,v_out_ripple,0.05553130022410378,0.04086597602663098,0.8427363311270741,0.03546785380608037
lhs,60,3,i_l_ripple,0.09300424525695865,0.015427123319329184,0.9898107633572757,0.035884034867263416
lhs,60,3,efficiency,0.22534283668191124,0.09662263236802238,0.23640503781485522,0.14031443188280848
lhs,60,4,v_out_mean,1.1832134429363679,0.012979025278241265,0.9958037454541765,0.5589546846325151
lhs,60,4,i_l_mean,1.5737470700612148,0.041699975618659325,0.8823092227899406,0.7275920776846619
lhs,60,4,v_out_ripple,0.06024915107449774,0.044337884283260166,0.8148794709813052,0.02834558462502547
lhs,60,4,i_l_ripple,0.10651182563642084,0.01766769962510941,0.9866361448232792,0.03282969862956589
lhs,60,4,efficiency,0.20718044182852216,0.08883495015596675,0.354534476336264,0.12331331303180484
lhs,60,5,v_out_mean,1.09875094197491,0.012052530619490846,0.9963814535228136,0.6412348460071062
lhs,60,5,i_l_mean,1.0229571909556756,0.02710555637134539,0.9502735471233066,0.5705546427024762
lhs,60,5,v_out_ripple,0.05192966988535769,0.03821550433794363,0.8624743069020211,0.02028234012816314
lhs,60,5,i_l_ripple,0.1449448177137902,0.024042790425214757,0.9752519213188838,0.04688699140595014
lhs,60,5,efficiency,0.1947809360587634,0.08351828287167343,0.4294832000419583,0.13463512162908298
lhs,60,6,v_out_mean,1.2140515984651494,0.013317298311337558,0.9955821605954431,0.7073982089110566
lhs,60,6,i_l_mean,1.691823825420098,0.044828685379754735,0.8639862435691628,0.8349192782705532
lhs,60,6,v_out_ripple,0.07800070886647435,0.05740141300012227,0.6897228327062709,0.027176674255183705
